Messages Sent,Producer Start Time,Consumer Finish Time,Total Test Time (seconds)
100,2024-06-25T15:07:19.968669354+01:00,2024-06-25T15:07:20.07290139+01:00,2.10
300,2024-06-25T15:07:20.073332034+01:00,2024-06-25T15:07:20.199900566+01:00,2.23
500,2024-06-25T15:07:20.20139181+01:00,2024-06-25T15:07:20.386672542+01:00,2.42
700,2024-06-25T15:07:20.388473237+01:00,2024-06-25T15:07:20.546850542+01:00,2.58
900,2024-06-25T15:07:20.552697677+01:00,2024-06-25T15:07:20.700399833+01:00,2.73
1100,2024-06-25T15:07:20.704611756+01:00,2024-06-25T15:07:20.844661499+01:00,2.88
1300,2024-06-25T15:07:20.850073225+01:00,2024-06-25T15:07:21.125518757+01:00,3.16
1500,2024-06-25T15:07:21.12998474+01:00,2024-06-25T15:07:21.359086599+01:00,3.39
1700,2024-06-25T15:07:21.368483109+01:00,2024-06-25T15:07:21.502474741+01:00,3.53
1900,2024-06-25T15:07:21.508127484+01:00,2024-06-25T15:07:21.661220234+01:00,3.69
2100,2024-06-25T15:07:21.668450733+01:00,2024-06-25T15:07:21.894705546+01:00,3.93
2300,2024-06-25T15:07:21.901854117+01:00,2024-06-25T15:07:22.035565848+01:00,4.07
2500,2024-06-25T15:07:22.041176556+01:00,2024-06-25T15:07:22.180615641+01:00,4.21
2700,2024-06-25T15:07:22.189689589+01:00,2024-06-25T15:07:22.335953504+01:00,4.37
2900,2024-06-25T15:07:22.365095151+01:00,2024-06-25T15:07:22.546716865+01:00,4.58
3100,2024-06-25T15:07:22.57429144+01:00,2024-06-25T15:07:22.70603803+01:00,4.74
3300,2024-06-25T15:07:22.74061298+01:00,2024-06-25T15:07:22.867766854+01:00,4.90
3500,2024-06-25T15:07:22.9185295+01:00,2024-06-25T15:07:23.100424462+01:00,5.13
3700,2024-06-25T15:07:23.135129108+01:00,2024-06-25T15:07:23.272605048+01:00,5.30
3900,2024-06-25T15:07:23.314117598+01:00,2024-06-25T15:07:23.450004334+01:00,5.48
4100,2024-06-25T15:07:23.483870707+01:00,2024-06-25T15:07:23.636048434+01:00,5.67
4300,2024-06-25T15:07:23.680946462+01:00,2024-06-25T15:07:23.818778888+01:00,5.85
4500,2024-06-25T15:07:23.864623786+01:00,2024-06-25T15:07:24.019187246+01:00,6.05
4700,2024-06-25T15:07:24.082278561+01:00,2024-06-25T15:07:24.216102197+01:00,6.25
4900,2024-06-25T15:07:24.287432576+01:00,2024-06-25T15:07:24.451049765+01:00,6.48
5100,2024-06-25T15:07:24.509678621+01:00,2024-06-25T15:07:24.633694478+01:00,6.67
5300,2024-06-25T15:07:24.714127458+01:00,2024-06-25T15:07:24.841594714+01:00,6.87
5500,2024-06-25T15:07:24.932769021+01:00,2024-06-25T15:07:25.057366808+01:00,7.09
5700,2024-06-25T15:07:25.139760871+01:00,2024-06-25T15:07:25.257604389+01:00,7.29
5900,2024-06-25T15:07:25.318783859+01:00,2024-06-25T15:07:25.510123644+01:00,7.54
6100,2024-06-25T15:07:25.655972373+01:00,2024-06-25T15:07:25.836292144+01:00,7.87
6300,2024-06-25T15:07:25.898364629+01:00,2024-06-25T15:07:26.06365459+01:00,8.10
6500,2024-06-25T15:07:26.190223455+01:00,2024-06-25T15:07:26.342950781+01:00,8.37
6700,2024-06-25T15:07:26.455972655+01:00,2024-06-25T15:07:26.601472093+01:00,8.63
6900,2024-06-25T15:07:26.73728909+01:00,2024-06-25T15:07:26.876662347+01:00,8.91
7100,2024-06-25T15:07:26.971227383+01:00,2024-06-25T15:07:27.103821745+01:00,9.14
7300,2024-06-25T15:07:27.220640213+01:00,2024-06-25T15:07:27.395205765+01:00,9.43
7500,2024-06-25T15:07:27.532748076+01:00,2024-06-25T15:07:27.756505498+01:00,9.79
7700,2024-06-25T15:07:27.925589763+01:00,2024-06-25T15:07:28.148815721+01:00,10.18
7900,2024-06-25T15:07:28.261100125+01:00,2024-06-25T15:07:28.446025663+01:00,10.48
8100,2024-06-25T15:07:28.573276958+01:00,2024-06-25T15:07:28.760309908+01:00,10.79
8300,2024-06-25T15:07:28.917710148+01:00,2024-06-25T15:07:29.052018979+01:00,11.08
8500,2024-06-25T15:07:29.173766042+01:00,2024-06-25T15:07:29.370136829+01:00,11.40
8700,2024-06-25T15:07:29.513683948+01:00,2024-06-25T15:07:29.713076227+01:00,11.74
8900,2024-06-25T15:07:29.880848161+01:00,2024-06-25T15:07:30.019240413+01:00,12.05
9100,2024-06-25T15:07:30.187605813+01:00,2024-06-25T15:07:30.305218967+01:00,12.34
9300,2024-06-25T15:07:30.454519598+01:00,2024-06-25T15:07:30.600355399+01:00,12.63
9500,2024-06-25T15:07:30.849657433+01:00,2024-06-25T15:07:30.978176366+01:00,13.01
9700,2024-06-25T15:07:31.133674556+01:00,2024-06-25T15:07:31.368447707+01:00,13.40
9900,2024-06-25T15:07:31.53934276+01:00,2024-06-25T15:07:31.772570887+01:00,13.80
Total Test Time,,,13.91
